"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.08.2025","6.449,15","6.445,02","6.455,35","6.437,70","-","-0,01%"
"15.08.2025","6.449,80","6.477,38","6.481,34","6.441,85","-","-0,29%"
"14.08.2025","6.468,54","6.453,46","6.473,92","6.441,07","-","0,03%"
"13.08.2025","6.466,58","6.462,67","6.480,28","6.445,02","-","0,32%"
"12.08.2025","6.445,76","6.395,17","6.446,55","6.385,76","-","1,13%"
"11.08.2025","6.373,45","6.389,67","6.407,25","6.364,06","-","-0,25%"
"08.08.2025","6.389,45","6.355,22","6.395,16","6.355,22","-","0,78%"
"07.08.2025","6.340,00","6.374,32","6.389,71","6.310,32","-","-0,08%"
"06.08.2025","6.345,06","6.309,30","6.352,83","6.301,11","-","0,73%"
"05.08.2025","6.299,19","6.336,63","6.346,00","6.289,37","-","-0,49%"
"04.08.2025","6.329,94","6.271,71","6.330,69","6.271,71","-","1,47%"
"01.08.2025","6.238,01","6.287,28","6.287,28","6.212,69","-","-1,60%"
"31.07.2025","6.339,39","6.427,02","6.427,02","6.327,64","-","-0,37%"
"30.07.2025","6.362,90","6.381,23","6.396,54","6.336,38","-","-0,12%"
"29.07.2025","6.370,86","6.405,62","6.409,26","6.363,92","-","-0,30%"
"28.07.2025","6.389,77","6.397,69","6.401,07","6.375,79","-","0,02%"
"25.07.2025","6.388,64","6.370,01","6.395,82","6.368,53","-","0,40%"
"24.07.2025","6.363,35","6.368,60","6.381,31","6.360,57","-","0,07%"
"23.07.2025","6.358,91","6.326,90","6.360,64","6.317,49","-","0,78%"
"22.07.2025","6.309,62","6.306,60","6.316,12","6.281,71","-","0,06%"
"21.07.2025","6.305,60","6.304,74","6.336,08","6.303,79","-","0,14%"
"18.07.2025","6.296,79","6.312,95","6.315,61","6.285,27","-","-0,01%"
"17.07.2025","6.297,36","6.263,40","6.304,69","6.262,27","-","0,54%"
"16.07.2025","6.263,70","6.254,50","6.268,12","6.201,59","-","0,32%"
"15.07.2025","6.243,76","6.295,29","6.302,04","6.241,68","-","-0,40%"
"14.07.2025","6.268,56","6.255,15","6.273,31","6.239,22","-","0,14%"
"11.07.2025","6.259,75","6.255,68","6.269,44","6.237,60","-","-0,33%"
"10.07.2025","6.280,46","6.266,80","6.290,22","6.251,44","-","0,27%"
"09.07.2025","6.263,26","6.243,33","6.269,16","6.231,43","-","0,61%"
"08.07.2025","6.225,52","6.234,03","6.242,70","6.217,75","-","-0,07%"
"07.07.2025","6.229,98","6.259,04","6.262,07","6.201,00","-","-0,79%"
"03.07.2025","6.279,35","6.246,46","6.284,65","6.246,46","-","0,83%"
"02.07.2025","6.227,42","6.193,88","6.227,60","6.188,29","-","0,47%"
