"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.12.2024","6.051,25","6.074,29","6.079,68","6.051,25","-","-0,54%"
"11.12.2024","6.084,19","6.060,15","6.092,59","6.060,15","-","0,82%"
"10.12.2024","6.034,91","6.057,59","6.065,40","6.029,89","-","-0,30%"
"09.12.2024","6.052,85","6.083,01","6.088,51","6.048,63","-","-0,61%"
"06.12.2024","6.090,27","6.081,38","6.099,97","6.079,98","-","0,25%"
"05.12.2024","6.075,11","6.089,03","6.094,55","6.072,90","-","-0,19%"
"04.12.2024","6.086,49","6.069,39","6.089,84","6.061,06","-","0,61%"
"03.12.2024","6.049,88","6.042,97","6.052,07","6.033,39","-","0,05%"
"02.12.2024","6.047,15","6.040,11","6.053,58","6.035,33","-","0,24%"
"29.11.2024","6.032,38","6.003,98","6.044,17","6.003,98","-","0,56%"
"27.11.2024","5.998,74","6.014,11","6.020,16","5.984,87","-","-0,38%"
"26.11.2024","6.021,63","6.000,03","6.025,42","5.992,27","-","0,57%"
"25.11.2024","5.987,37","5.992,28","6.020,75","5.963,91","-","0,30%"
"22.11.2024","5.969,34","5.944,36","5.972,90","5.944,36","-","0,35%"
"21.11.2024","5.948,71","5.940,58","5.963,32","5.887,26","-","0,53%"
"20.11.2024","5.917,11","5.914,34","5.920,67","5.860,56","-","0,00%"
"19.11.2024","5.916,98","5.870,05","5.923,51","5.855,29","-","0,40%"
"18.11.2024","5.893,62","5.874,17","5.908,12","5.865,95","-","0,39%"
"15.11.2024","5.870,62","5.912,79","5.915,32","5.853,01","-","-1,32%"
"14.11.2024","5.949,17","5.989,68","5.993,88","5.942,28","-","-0,60%"
"13.11.2024","5.985,38","5.985,75","6.008,19","5.965,91","-","0,02%"
"12.11.2024","5.983,99","6.003,60","6.009,92","5.960,08","-","-0,29%"
"11.11.2024","6.001,35","6.008,86","6.017,31","5.986,69","-","0,10%"
"08.11.2024","5.995,54","5.976,76","6.012,45","5.976,76","-","0,38%"
"07.11.2024","5.973,10","5.947,21","5.983,84","5.947,21","-","0,74%"
"06.11.2024","5.929,04","5.864,89","5.936,14","5.864,89","-","2,53%"
"05.11.2024","5.782,76","5.722,43","5.783,44","5.722,10","-","1,23%"
"04.11.2024","5.712,69","5.725,15","5.741,43","5.696,51","-","-0,28%"
"01.11.2024","5.728,80","5.723,22","5.772,52","5.723,22","-","0,41%"
"31.10.2024","5.705,45","5.775,34","5.775,34","5.702,86","-","-1,86%"
"30.10.2024","5.813,67","5.832,65","5.850,94","5.811,28","-","-0,33%"
"29.10.2024","5.832,92","5.819,68","5.847,19","5.802,17","-","0,16%"
"28.10.2024","5.823,52","5.833,93","5.842,92","5.823,08","-","0,27%"
"25.10.2024","5.808,12","5.826,75","5.862,82","5.799,98","-","-0,03%"
"24.10.2024","5.809,86","5.817,80","5.817,80","5.784,92","-","0,21%"
"23.10.2024","5.797,42","5.834,50","5.834,85","5.762,41","-","-0,92%"
"22.10.2024","5.851,20","5.832,70","5.863,04","5.821,17","-","-0,05%"
"21.10.2024","5.853,98","5.857,82","5.866,92","5.824,79","-","-0,18%"
"18.10.2024","5.864,67","5.859,43","5.872,17","5.846,11","-","0,40%"
"17.10.2024","5.841,47","5.875,62","5.878,46","5.840,25","-","-0,02%"
"16.10.2024","5.842,47","5.816,58","5.846,52","5.808,34","-","0,47%"
"15.10.2024","5.815,26","5.866,74","5.870,36","5.804,48","-","-0,76%"
"14.10.2024","5.859,85","5.829,81","5.871,41","5.829,57","-","0,77%"
"11.10.2024","5.815,03","5.775,09","5.822,13","5.775,09","-","0,61%"
