"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.04.2025","5,8067","5,8073","5,8119","5,8066","","0,01%"
"17.04.2025","5,8063","5,8667","5,8887","5,7964","","-1,02%"
"16.04.2025","5,8664","5,8868","5,9160","5,8520","","-0,33%"
"15.04.2025","5,8859","5,8530","5,9044","5,8330","","0,53%"
"14.04.2025","5,8551","5,8658","5,8753","5,8279","","-0,17%"
"11.04.2025","5,8648","5,8855","5,9200","5,8168","","-0,35%"
"10.04.2025","5,8856","5,8219","5,9556","5,8177","","1,10%"
"09.04.2025","5,8215","6,0116","6,0966","5,8218","","-3,15%"
"08.04.2025","6,0109","5,9143","6,0199","5,8597","","1,64%"
"07.04.2025","5,9139","5,8441","5,9325","5,8156","","1,22%"
"04.04.2025","5,8425","5,6286","5,8541","5,6271","","3,79%"
"03.04.2025","5,6290","5,6635","5,6657","5,5929","","-0,56%"
"02.04.2025","5,6607","5,6818","5,7148","5,6487","","-0,37%"
"01.04.2025","5,6815","5,7052","5,7334","5,6729","","-0,41%"
"31.03.2025","5,7047","5,7585","5,7861","5,7007","","-0,97%"
"28.03.2025","5,7604","5,7460","5,7825","5,7390","","0,26%"
"27.03.2025","5,7452","5,7362","5,7715","5,7220","","0,16%"
"26.03.2025","5,7359","5,6998","5,7483","5,6933","","0,65%"
"25.03.2025","5,6989","5,7652","5,7661","5,6773","","-1,14%"
"24.03.2025","5,7646","5,7291","5,7726","5,7021","","0,62%"
"21.03.2025","5,7291","5,6804","5,7347","5,6754","","0,87%"
"20.03.2025","5,6797","5,6499","5,6816","5,6452","","0,55%"
"19.03.2025","5,6485","5,6713","5,6914","5,6320","","-0,39%"
"18.03.2025","5,6705","5,6836","5,7145","5,6556","","-0,23%"
"17.03.2025","5,6835","5,7410","5,7421","5,6657","","-0,96%"
"14.03.2025","5,7385","5,8002","5,8096","5,7094","","-1,04%"
"13.03.2025","5,7990","5,7993","5,8365","5,7912","","0,02%"
"12.03.2025","5,7978","5,8109","5,8476","5,7853","","-0,22%"
"11.03.2025","5,8103","5,8573","5,8574","5,8031","","-0,77%"
"10.03.2025","5,8555","5,7912","5,8732","5,7722","","1,18%"
"07.03.2025","5,7874","5,7646","5,8005","5,7511","","0,41%"
"06.03.2025","5,7639","5,7400","5,7810","5,7323","","0,43%"
"05.03.2025","5,7394","5,8854","5,8854","5,7387","","-2,48%"
"04.03.2025","5,8852","5,8852","5,8852","5,8852","","0,00%"
"03.03.2025","5,8852","5,8852","5,8852","5,8852","","0,00%"
"28.02.2025","5,8852","5,8351","5,9184","5,8227","","0,77%"
"27.02.2025","5,8401","5,8170","5,8413","5,7957","","0,63%"
"26.02.2025","5,8035","5,7420","5,8188","5,7333","","1,11%"
"25.02.2025","5,7396","5,7708","5,8137","5,7386","","-0,67%"
"24.02.2025","5,7785","5,7302","5,7825","5,7068","","0,81%"
"21.02.2025","5,7320","5,7027","5,7368","5,6936","","0,51%"
"20.02.2025","5,7029","5,7218","5,7218","5,6861","","-0,32%"
"19.02.2025","5,7214","5,6930","5,7329","5,6825","","0,57%"
"18.02.2025","5,6892","5,7102","5,7253","5,6752","","-0,42%"
"17.02.2025","5,7130","5,7033","5,7237","5,6950","","0,15%"
